name,code,barcode_symbology,brand,category_code,unit,sale_unit,purchase_unit,cost,price,alert_quantity,tax_rate,tax_method,image,subcategory_code,variants,mrp,hsn_code,warehouse,quantity
Studds Ninja Elite Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1230,,18%GST,Inclusive,,,,1230,,Ware house 1-1,0
Studds Shifter Plain Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,2030,,18%GST,Inclusive,,,,2030,,Ware house 1-1,0
Studds Scorpion Plain Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1650,,18%GST,Inclusive,,,,1650,,Ware house 1-1,0
Studds Scorpion Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1750,,18%GST,Inclusive,,,,1750,,Ware house 1-1,0
Studds Shifter Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,2165,,18%GST,Inclusive,,,,2165,,Ware house 1-1,0
Studds Ninja Elite Super Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1475,,18%GST,Inclusive,,,,1475,,Ware house 1-1,0
Vega Cliff DX Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,980,,18%GST,Inclusive,,,,980,,Ware house 1-1,0
Vega Cliff Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,890,,18%GST,Inclusive,,,,890,,Ware house 1-1,0
Vega Crux Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1250,,18%GST,Inclusive,,,,1250,,Ware house 1-1,0
Vega Boolean Full Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1772,,18%GST,Inclusive,,,,1772,,Ware house 1-1,0
Vega Verve Open Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,1250,,18%GST,Inclusive,,,,1250,,Ware house 1-1,0
MX9 Open Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,849,,18%GST,Inclusive,,,,849,,Ware house 1-1,0
Steelbird Frost Open Face Helmet,,code128,,HA1,pcs,pcs,pcs,0,949,,18%GST,Inclusive,,,,949,,Ware house 1-1,0
